record_id,region,category_title,videos_count,date
537,France,Education,6,05/04/2018
538,France,Education,8,06/04/2018
539,France,Education,6,07/04/2018
540,France,Education,8,14/04/2018
541,France,Education,10,15/04/2018
542,France,Education,10,16/04/2018
543,France,Education,4,17/04/2018
544,France,Education,4,18/04/2018
545,France,Education,10,19/04/2018
546,France,Education,6,20/04/2018
547,France,Education,12,21/04/2018
548,France,Education,6,22/04/2018
549,France,Education,8,23/04/2018
550,France,Education,10,24/04/2018
551,France,Education,4,26/04/2018
552,France,Education,4,27/04/2018
553,France,Education,14,28/04/2018
554,France,Education,6,29/04/2018
555,France,Education,4,30/04/2018
556,France,Education,4,01/05/2018
557,France,Education,6,04/05/2018
558,France,Education,6,05/05/2018
559,France,Education,6,06/05/2018
560,France,Education,10,07/05/2018
561,France,Education,6,08/05/2018
562,France,Education,6,09/05/2018
563,France,Education,8,10/05/2018
564,France,Education,10,11/05/2018
565,France,Education,10,12/05/2018
566,France,Education,4,13/05/2018
567,France,Education,8,14/05/2018
568,France,Education,6,15/05/2018
569,France,Education,8,16/05/2018
570,France,Education,6,17/05/2018
571,France,Education,8,18/05/2018
572,France,Education,6,19/05/2018
573,France,Education,4,20/05/2018
574,France,Education,10,21/05/2018
575,France,Education,10,22/05/2018
576,France,Education,6,23/05/2018
577,France,Education,6,24/05/2018
578,France,Education,8,25/05/2018
579,France,Education,10,26/05/2018
580,France,Education,6,27/05/2018
581,France,Education,6,28/05/2018
582,France,Education,6,29/05/2018
583,France,Education,10,30/05/2018
584,France,Education,4,31/05/2018
585,France,Education,2,01/06/2018
586,France,Education,8,03/06/2018
587,France,Education,14,04/06/2018
588,France,Education,16,05/06/2018
589,France,Education,6,06/06/2018
590,France,Education,8,07/06/2018
591,France,Education,8,08/06/2018
592,France,Education,14,09/06/2018
593,France,Education,10,10/06/2018
594,France,Education,16,11/06/2018
595,France,Education,16,12/06/2018
596,France,Education,16,13/06/2018
597,France,Education,8,14/06/2018
598,France,Entertainment,104,14/11/2017
599,France,Entertainment,90,15/11/2017
600,France,Entertainment,94,16/11/2017
601,France,Entertainment,90,17/11/2017
602,France,Entertainment,80,18/11/2017
603,France,Entertainment,90,19/11/2017
604,France,Entertainment,90,20/11/2017
605,France,Entertainment,86,21/11/2017
